Address,Latitude,Longitude
"12 Indian Creek Island Rd, Florida",25.8779089,-80.14161349999999
"11 Indian Creek Island Rd, Florida",25.8786647,-80.1416808
"27 Star Island Dr, Florida",25.77918,-80.1499686
"9111 Collins Ave PH, Florida",25.8781076,-80.12145439999999
"9111 Collins Ave Unit N-PH4, Florida",25.8781076,-80.12145439999999
"5930 N Bay Road, Florida",25.8414152,-80.1325616
"40 Palm Ave, Florida",25.7775585,-80.1584512
"140 Arvida Pkwy, Florida",25.6880067,-80.2554823
"2511 Lake Ave, Florida",27.6648274,-81.5157535
"64 La Gorce Cir, Florida",25.8496305,-80.13009129999999
"37 Star Island Dr, Florida",25.7764039,-80.14951239999999
"1826 W 23rd St, Florida",25.7987568,-80.14623279999999
"3541 Flamingo, Florida",25.1417914,-80.92534909999999
"2501 Lake Ave, Florida",26.6157344,-80.0509402
"1835 W 27th St, Florida",,
"325 Leucadendra Dr, Florida",25.6922809,-80.2589017
"2315 Lake Ave, Florida",27.6648274,-81.5157535
"5775 Collins Ave Ph -2, Florida",25.8392568,-80.12039469999999
"7463 Fisher Island Dr #7463, Florida",,
"9001 Collins Ave Unit S-901, Florida",25.8774709,-80.12110969999999
"1417 N Venetian Way, Florida",25.7912725,-80.166581
"416 W San Marino Dr, Florida",25.7929074,-80.1638194
"2700 N Bay Rd, Florida",25.8040918,-80.1397958
"100 W San Marino Dr, Florida",25.7892123,-80.1636474
"815 E Dilido Dr, Florida",25.7947472,-80.158419
"9520 W Broadview Dr, Florida",25.8857433,-80.1384731
"1370 Venetian Way, Florida",26.5058826,-80.08685
"4647 Pine Tree Dr, Florida",25.8216568,-80.125047
"4940 Hammock Lake Dr, Florida",27.6648274,-81.5157535
"655 Ocean Blvd, Florida",26.451804,-80.06007600000001
"9349 Collins Ave #406, Florida",,
"610 N Island, Florida",30.5892699,-87.1458388
"12 La Gorce Cir, Florida",25.8466053,-80.1292282
"7954 Fisher Island Dr #7954, Florida",,
"2675 S Bayshore Dr Unit LPHS, Florida",25.7298934,-80.23683059999999
"398 Harbor Dr, Florida",27.0941659,-82.4501648
"800 S Pointe Dr #1504, Florida",,
"9001 Collins Ave Unit S-207, Florida",25.8774709,-80.12110969999999
"3590 Crystal View Ct, Florida",25.7357587,-80.22391259999999
"3323 Poinciana Ave, Florida",25.717459,-80.24517
"9530 W Broadview Dr, Florida",25.8859403,-80.138638
"1095 Mariner Dr, Florida",26.8974798,-80.0828156
"100 S Pointe Dr #2203, Florida",,
"1125 Belle Meade Island Dr, Florida",25.8446231,-80.17440049999999
"6640 Allison Rd, Florida",25.8500678,-80.1251006
"2821 S Bayshore Dr Unit UPH-A, Florida",25.7287205,-80.23808009999999
"1378 S Venetian Way, Florida",25.789831,-80.166972
"4701 N Meridian Ave Ph 01, Florida",25.823297,-80.131672
"216 Palm Ave, Florida",26.8868448,-82.0239237
"5777 Pinetree Dr, Florida",27.6648274,-81.5157535
